Symbol,Price (SATS),Change 1h (%),Change 24h (%)
BTC,100000000.0,-0.04998468,1.67034291
ETH,5385947.8,-0.18601244,1.1397472
USDT,2359.4,0.01592947,0.01193036
BNB,722140.2,-0.4478296,1.01605911
SOL,225691.8,0.10984933,5.01919626
XRP,1251.8,-0.2765828,0.42180797
USDC,2359.8,0.01781064,0.00803262
ADA,1165.2,-0.1485633,3.02441011
AVAX,84294.9,-0.02993149,11.51011207
DOGE,189.3,-0.06019982,1.12639479
TRX,266.2,-0.05532185,-1.97022673
DOT,15811.0,-0.35779987,2.12350466
LINK,34209.7,0.23056009,2.71617115
MATIC,1888.0,0.37091289,5.65767682
TON,4962.8,0.33648016,1.80121563
ICP,29932.5,0.32001412,1.97814407
SHIB,0.0,0.15026915,1.80117351
DAI,2359.8,0.01304445,0.00419713
LTC,160102.8,-0.18203512,2.04352236
BCH,572499.6,-0.01941263,0.99222127
LEO,9555.5,-0.21363807,-0.63442859
ATOM,22564.0,-0.29883302,0.83731064
UNI,14134.5,-0.13159225,1.798691
ETC,56429.6,-0.5562632,-0.33086316
XLM,272.7,-0.03264684,-0.33444625
OKB,125716.6,-0.01653699,0.24739151
INJ,84393.7,-0.65907259,4.24085403
APT,21326.6,-0.08303795,1.98065992
NEAR,7058.7,0.0253964,5.39163379
OP,7400.7,0.31012253,3.19427154
XMR,380472.8,-0.44483648,0.07112732
LDO,7309.7,0.38188622,3.31548084
TIA,40473.1,-0.36853567,3.67222707
FIL,12512.7,-0.57569913,3.24263935
IMX,4565.6,-0.23414068,1.83009615
FDUSD,2357.9,-0.00712785,-0.02676683
HBAR,177.5,-0.13663874,1.52876763
KAS,257.6,0.58901958,5.01249352
ARB,4366.4,0.5915128,3.48647536
STX,3626.3,-0.83475326,1.89188188
CRO,193.1,0.25579775,1.29289588
VET,67.0,0.09018092,2.50261134
MNT,1538.4,-0.18666948,-0.67336009
MKR,4726432.9,-0.29446342,-2.56099479
SEI,1569.1,-0.75497151,3.53572488
TUSD,2329.2,-0.22021992,-0.09211833
RNDR,9775.5,-0.65970508,6.18115693
SUI,3317.6,-0.9100724,1.82019623
GRT,377.1,-0.21658567,1.71546392
RUNE,10270.5,-0.19638168,1.52226149
BSV,171164.3,-0.20126778,0.48907958
EGLD,126225.6,0.31456215,4.14573731
AAVE,217029.2,-0.16740356,1.55243085
ALGO,391.8,-0.24616324,0.67395734
HNT,19346.5,0.34210665,6.54875632
QNT,254590.4,-0.17313508,-0.27872069
ORDI,133847.3,-0.49529216,0.22999176
MINA,2585.5,-0.01717961,2.4535325
FLOW,1787.8,-0.30377649,1.45109892
FTM,908.7,-0.62325619,6.3047619
1000SATS,1.2,-1.17076702,0.92783254
SAND,1087.8,-0.46790727,2.94389658
ASTR,434.4,-1.15670228,-0.75383053
AXS,17412.3,-0.21128127,2.02448585
THETA,2350.3,-0.61650777,1.12636909
SNX,7675.2,-0.16940781,1.17593758
CHZ,256.3,-1.08913237,1.72287964
XTZ,2346.7,-0.07942749,2.13989072
KCS,23456.7,-0.07983592,-0.4759297
BEAM,43.9,-0.3273538,7.46453075
MANTA,8560.5,-0.32226381,6.08265047
FTT,6528.2,0.68379108,3.11386123
BTT,0.0,3.62044944,7.34431283
ETHDYDX,6576.3,-0.85506131,5.48146798
MANA,1070.3,-0.16990577,2.01671234
WEMIX,5609.8,-0.18390557,-0.22242185
BGB,1392.2,-0.31240645,-0.76653609
IOTA,618.9,1.00827258,9.20782482
BLUR,1502.2,-0.24823391,0.28756283
EOS,1701.0,0.21304235,3.26217206
CFX,513.5,-0.86201384,-1.77639799
KAVA,1707.3,-0.01803797,2.7518741
OSMO,3738.0,-0.13440925,2.94016533
FXS,23976.1,0.26965149,0.43530154
NEO,25791.0,-0.41992892,0.92672748
RON,6277.5,0.31434582,15.34880289
BONK,0.0,0.0721633,4.85516333
USDD,2346.0,0.03581129,-0.03977512
ROSE,252.5,0.27111371,3.9043415
KLAY,483.9,-0.29317145,2.19341357
FLR,50.4,-0.1849939,-0.37112922
AKT,7087.7,0.03777406,0.79826411
WOO,842.7,-0.09296302,1.91365063
GALA,55.0,-0.22835643,3.14186931
CAKE,6121.6,-0.43483649,0.70276362
XDC,108.1,0.12235855,1.00508779
XEC,0.1,0.00780006,-0.16776762
PYTH,964.1,0.92996651,3.47570211
RPL,70113.9,-0.14817175,0.31718978
ENS,45369.9,-0.50031492,-0.80805544
